season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,8,ATL,REG,MIA,21,31,173,0,0,1,-5,0,0,285,75,7,-5.867928963794839,2.4710270762443542,0,17,45,1,1,1,4,-10.502074398148562,0,21,30,173,0,0,0,285,75,7,-2.4965351583086886,0,0,38,2,42,5,16,0,1.0,8.0,2,0,0,3,0,0,0,0,0,0,0,0,0,8,76,1,2,11,6,131,1,1,0,0,45.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,45,,,45,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,8,BAL,REG,CHI,17,22,186,1,0,2,-8,0,0,209,42,8,5.315543281004171,10.720725492997603,0,35,177,2,0,0,14,7.37047940219054,0,17,22,186,1,1,0,209,42,8,7.560694383574498,0,0,42,2,24,6,16,1,1.0,9.0,4,1,9,2,0,0,0,0,0,0,0,0,0,6,45,2,0,0,5,154,3,3,0,0,42.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,42;28;32,,,102,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,8,BUF,REG,CAR,14,23,185,1,0,2,-20,0,0,147,116,10,8.423088424387755,-9.345733860264653,0,35,245,4,0,0,12,12.207044504844816,0,14,23,185,1,0,0,147,116,10,12.255672838829923,0,0,38,0,36,7,42,2,7.0,45.0,9,1,24,1,0,0,0,0,0,0,2,2,0,7,60,2,3,14,2,44,2,2,0,0,45.0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,45;43,,,88,0,0,4,5,1,0,0.8,0,0,0,0,0
2025,8,CAR,REG,BUF,16,24,175,0,1,7,-45,1,1,195,51,11,-12.860889769130974,3.698212037915769,0,28,114,1,1,1,7,-7.483066802204121,0,16,23,175,0,0,0,195,51,11,2.820920895170825,0,0,33,3,39,4,10,0,2.0,20.0,3,0,0,4,0,0,0,0,1,2,0,0,0,4,20,3,2,13,6,156,1,2,1,0,48.0,0.5,0,0,0,1,0,0,0,0,1,0,0,0,48,32,,48,32,0,0,1,1,0,0.0,0,0,0,0,0
2025,8,CHI,REG,BAL,25,38,285,0,1,1,-9,0,0,310,125,13,1.0999335164201207,7.888272830418178,0,23,96,1,0,0,5,0.4128671477374155,0,25,35,285,0,0,0,310,125,13,6.68299723934999,0,0,40,1,33,4,12,1,2.0,8.0,3,0,0,1,0,0,0,0,1,1,0,0,0,11,79,6,1,8,6,157,3,4,1,0,47.0,0.75,0,0,2,1,0,0,0,0,0,0,1,0,32;39;47,58,,118,58,0,1,1,0,0,1.0,0,0,0,0,0
2025,8,CIN,REG,NYJ,21,34,223,2,0,1,-6,0,0,216,152,11,3.1859004099274553,-8.001695799105095,0,23,181,3,0,0,12,12.15586738823913,0,21,33,223,2,0,0,216,152,11,6.399961093196509,0,0,43,1,39,3,4,0,0.0,0.0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,15,1,0,0,5,114,1,1,0,0,26.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,26,,,26,0,0,5,5,0,0,1.0,0,0,0,0,0
2025,8,CLE,REG,NE,21,35,156,2,2,1,-11,0,0,195,88,7,-19.84580293446636,-5.337651480327953,0,16,68,0,0,0,4,1.350315963383764,0,21,33,156,2,0,0,195,88,7,-16.99213274833603,0,0,39,2,32,11,52,2,6.0,37.0,8,1,7,3,0,0,0,0,0,0,1,1,0,5,31,3,1,7,6,131,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,,47,,0,47,0,1,1,0,0,1.0,0,0,0,0,0
2025,8,DAL,REG,DEN,22,35,246,1,2,2,-15,0,0,262,78,12,1.3493161282435548,-1.3649272067206246,0,31,108,2,1,0,8,2.5056544059189036,0,22,35,246,1,0,0,262,78,12,4.829498374315772,0,0,32,1,29,3,5,0,0.0,0.0,1,1,7,2,0,0,0,0,1,1,0,0,0,9,80,5,0,0,3,86,1,1,0,0,24.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,24,,,24,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,8,DEN,REG,DAL,19,29,247,4,1,0,0,0,0,299,81,15,14.092828136220142,8.968410944497144,0,28,179,2,0,0,8,6.416155812796205,0,19,27,247,4,0,0,299,81,15,15.502120908632442,0,0,29,2,50,3,17,1,2.0,15.0,8,2,36,12,0,0,0,0,0,0,0,0,0,7,42,3,2,26,4,119,1,1,0,0,42.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,42,,,42,0,0,5,5,0,0,1.0,0,0,0,0,0
2025,8,GB,REG,PIT,29,37,360,3,0,0,0,0,0,194,245,17,22.352007517259448,13.540970938546318,1,26,94,1,0,0,5,-3.3783176579745486,0,29,35,360,3,1,0,194,245,17,24.115254171491312,1,0,39,0,22,5,23,1,3.0,17.0,5,0,0,5,0,1,0,0,1,1,1,1,0,5,47,4,4,17,5,119,2,4,2,0,28.0,0.5,0,2,0,0,0,0,0,0,0,1,1,0,28;25,57;44,,53,101,0,3,3,0,0,1.0,0,0,0,0,0
2025,8,HOU,REG,SF,30,39,318,2,1,0,0,0,0,338,146,16,19.188032113091264,8.515917784289309,0,36,157,0,0,0,7,-1.7961320135784566,0,30,38,318,2,0,0,338,146,16,19.693896270723723,0,0,25,1,19,4,24,1,2.0,18.0,6,1,0,5,0,0,0,0,0,0,0,0,0,8,55,3,2,11,3,70,4,4,0,0,37.0,1.0,0,0,4,0,0,0,0,0,0,0,0,0,33;34;37;30,,,134,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,8,IND,REG,TEN,21,31,272,3,0,3,-16,0,0,267,110,14,11.726610737759284,7.135976957423346,0,18,164,2,0,0,7,8.113839974626899,0,21,28,272,3,0,0,267,110,14,16.693115070019513,0,0,43,1,25,8,33,0,4.0,31.0,7,1,0,4,0,0,0,0,0,0,0,0,0,3,32,2,2,33,2,42,1,1,0,0,43.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,43,,,43,0,0,5,5,0,0,1.0,0,0,0,0,0
2025,8,KC,REG,WAS,25,34,299,3,2,3,-15,0,0,219,173,16,13.728703663044143,10.903219971805811,0,30,148,1,1,0,10,2.8222263775533065,0,25,32,299,3,1,0,219,173,16,15.177524134865962,0,0,28,0,36,3,15,1,2.0,13.0,4,2,10,3,0,0,0,0,2,2,0,0,0,9,95,4,2,13,2,46,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,8,LAC,REG,MIN,18,25,227,3,1,2,-15,0,0,206,75,13,11.607531543715911,9.111668666203817,0,43,207,1,0,0,14,2.650265364579405,0,18,24,227,3,0,0,206,75,13,15.538929641025195,0,0,32,1,13,7,30,1,5.0,27.0,8,1,15,7,0,0,0,0,0,0,0,0,0,8,46,2,1,0,3,75,3,4,1,0,45.0,0.75,0,0,1,2,0,0,0,0,0,1,0,0,43;34;45,49,,122,49,0,4,4,0,0,1.0,0,0,0,0,0
2025,8,MIA,REG,ATL,21,27,205,4,0,1,-8,0,0,101,148,10,6.220961127550506,2.2629392367822154,0,37,141,0,0,0,11,3.051628098370562,0,21,27,205,4,0,0,101,148,10,8.173403580327683,0,0,30,1,27,4,10,0,1.0,5.0,4,0,0,2,0,0,0,0,0,0,1,1,0,4,54,5,2,9,2,57,2,2,0,0,36.0,1.0,0,0,2,0,0,0,0,0,0,0,0,0,34;36,,,70,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,8,MIN,REG,LAC,18,31,157,1,1,5,-27,1,0,108,126,9,-12.750770827506445,-11.791805922985077,0,11,34,0,0,0,1,-7.18839368323097,0,18,30,157,1,0,0,108,126,9,-4.033300278692282,0,0,46,1,33,10,30,0,2.0,15.0,8,1,0,2,0,0,0,0,1,1,0,0,0,8,66,3,0,0,5,135,1,2,1,0,54.0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,54,53,,54,53,0,1,1,0,0,1.0,0,0,0,0,0
2025,8,NE,REG,CLE,18,24,282,3,1,6,-37,1,0,277,80,11,6.421182738901681,18.714007476101752,0,35,177,0,1,1,10,-6.168739236483816,0,18,23,282,3,0,0,277,80,11,15.05168801263783,0,0,27,1,33,7,23,0,1.0,11.0,2,2,33,8,0,0,1,0,1,1,0,0,0,7,54,4,1,8,2,55,3,3,0,0,42.0,1.0,0,0,2,1,0,0,0,0,0,0,0,0,36;32;42,,,110,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,8,NO,REG,TB,32,51,264,0,2,5,-37,0,0,419,97,13,-22.082896091348562,-6.080386459827423,0,15,48,0,1,1,5,-6.294308311538771,0,32,50,264,0,1,1,419,97,13,-18.351491144173384,0,0,34,0,32,2,17,2,3.0,28.0,4,0,0,4,0,0,0,0,0,0,1,1,0,8,40,6,1,8,6,142,1,1,0,0,48.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,48,,,48,0,0,0,0,0,0,,0,0,0,0,0
2025,8,NYG,REG,PHI,14,24,193,1,0,5,-15,0,0,235,72,9,3.372110629519341,1.8181299621408635,0,21,68,1,0,0,5,1.0448746601468883,0,14,22,193,1,0,0,235,72,9,9.919948489798923,0,0,33,0,28,3,22,0,4.0,28.0,5,0,0,4,0,0,0,0,0,0,0,0,0,7,54,3,0,0,5,145,2,2,0,0,47.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,47;34,,,81,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,8,NYJ,REG,CIN,22,33,248,2,0,0,0,0,0,184,152,13,16.242679117939325,5.570480724175771,1,37,254,2,0,0,11,5.550307312261005,1,22,30,248,2,0,0,184,152,13,19.241507287829073,1,0,30,0,30,3,13,0,1.0,6.0,2,0,0,7,0,0,0,0,0,0,0,0,0,4,25,3,3,38,6,150,3,3,0,0,46.0,1.0,0,2,0,1,0,0,0,0,0,0,0,0,46;25;24,,,95,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,8,PHI,REG,NYG,15,20,179,4,0,4,-28,0,0,147,87,10,8.026514688373709,9.823632687330246,0,33,276,1,0,0,12,12.976867634279188,0,15,20,179,4,0,0,147,87,10,13.971651525103653,0,0,35,0,14,7,19,0,5.0,15.0,6,0,0,4,0,0,0,0,0,0,0,0,0,5,30,1,1,17,3,99,1,2,1,0,40.0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,40,58,,40,58,0,5,5,0,0,1.0,0,0,0,0,0
2025,8,PIT,REG,GB,24,36,219,2,0,3,-17,0,0,240,88,10,-4.052352931075593,4.962281417101622,0,18,93,0,0,0,5,-1.2507741656445432,0,24,32,219,2,1,1,240,88,10,-0.6927380332029186,0,0,41,0,32,1,1,1,0.0,0.0,5,0,0,1,0,0,0,0,0,0,0,0,0,6,65,3,2,21,6,123,4,4,0,0,56.0,1.0,0,0,0,1,3,0,0,0,0,0,0,0,56;50;48;56,,,210,0,0,1,1,0,0,1.0,0,0,0,0,0
