season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,4,ARI,REG,SEA,27,41,200,2,2,6,-36,0,0,238,125,13,-3.3043997842296657,-4.957857504487038,0,17,89,0,0,0,2,-1.8990376775618643,0,27,40,200,2,0,0,238,125,13,5.983421891421109,0,0,35,3,47,9,31,2,3.0,13.0,3,0,0,2,0,0,0,0,0,0,1,1,0,7,46,6,1,15,5,126,2,2,0,0,57.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,33;57,,,90,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,4,ATL,REG,WAS,20,26,313,2,1,1,-6,0,0,274,134,14,18.287676299231038,11.439650104596065,0,37,128,2,1,0,9,-3.5752406536119787,0,20,26,313,2,0,0,274,134,14,19.594266019768924,0,0,31,1,29,4,10,2,2.0,9.0,6,1,0,3,0,0,0,0,2,2,0,0,0,5,45,2,1,0,5,128,2,2,0,0,38.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,38;26,,,64,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,4,BAL,REG,KC,23,33,199,1,1,3,-5,1,1,158,101,10,-11.06896400887453,6.868095596631368,0,17,166,1,0,0,7,7.755338996881619,0,23,30,199,1,0,0,158,101,10,3.574066242290362,0,0,41,0,32,2,7,0,1.0,6.0,3,0,0,2,0,0,0,0,0,0,0,0,0,6,56,3,0,0,7,164,2,2,0,0,43.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,43;32,,,75,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,4,BUF,REG,NO,16,22,209,2,1,3,-18,0,0,224,123,10,4.917184796040829,9.253221276131542,0,32,165,2,0,0,10,3.6261143612209707,0,16,22,209,2,0,0,224,123,10,8.641310456763904,0,0,47,1,21,5,22,1,3.0,17.0,4,1,4,2,0,0,0,0,0,0,0,0,0,11,55,6,1,6,4,95,1,1,0,0,35.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,35,,,35,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,4,CAR,REG,NE,23,36,208,2,0,1,-11,0,0,199,130,11,0.9773629099533577,4.047475755214691,0,28,129,0,0,0,8,-2.5594697374035604,0,23,32,208,2,1,0,199,130,11,8.375273960775944,0,0,23,1,33,1,2,0,1.0,0.0,1,0,0,2,0,0,0,0,0,0,0,0,0,5,29,3,3,19,6,139,0,1,1,0,,0.0,0,0,0,0,0,0,0,0,0,0,1,0,,55,,0,55,0,1,2,1,0,0.5,0,0,0,0,0
2025,4,CHI,REG,LV,22,37,212,1,1,1,-10,0,0,246,99,10,-1.120958017301945,-11.36607618795501,0,26,69,1,2,0,7,-6.595607306687244,0,22,36,212,1,0,0,246,99,10,1.6286474764345082,0,0,35,3,29,5,17,1,0.0,0.0,1,3,50,4,0,0,0,0,2,3,1,1,0,8,60,4,1,19,5,122,4,4,0,0,52.0,1.0,0,0,0,2,2,0,0,0,0,0,0,0,46;43;52;51,,,192,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,4,CIN,REG,DEN,14,25,125,0,0,3,-19,0,0,200,68,3,-10.354677599800777,-4.895710132338784,0,15,53,0,0,0,3,-0.4126466710004024,0,14,22,125,0,0,0,200,68,3,-3.4182781334426515,0,0,42,1,45,1,2,0,0.0,0.0,1,1,0,2,0,0,0,0,0,0,0,0,0,11,65,1,1,16,2,48,1,1,0,0,26.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,26,,,26,0,0,0,0,0,0,,0,0,0,0,0
2025,4,CLE,REG,DET,16,35,184,0,2,3,-14,1,1,347,79,8,-21.16030394306809,-16.38901338857763,0,27,79,1,0,0,7,-2.0744296844350174,0,16,34,184,0,0,0,347,79,8,-13.124354389937897,0,0,29,2,32,4,8,0,0.0,0.0,5,1,13,1,0,1,0,0,1,1,0,0,0,6,44,1,1,0,5,129,1,2,1,0,33.0,0.5,0,0,1,0,0,0,0,0,0,0,1,0,33,56,,33,56,0,1,1,0,0,1.0,0,0,0,0,0
2025,4,DAL,REG,GB,31,40,319,3,0,1,0,0,0,327,136,17,22.430883390743485,13.1012120529225,0,26,117,2,0,0,8,1.5595123074017465,0,31,38,319,3,0,0,327,136,17,25.31448212993564,0,0,51,1,31,7,30,1,1.0,12.0,4,0,0,1,0,0,0,0,0,0,1,1,0,11,95,6,0,0,6,175,1,1,0,0,22.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,22,,,22,0,0,5,5,0,0,1.0,0,0,0,0,0
2025,4,DEN,REG,CIN,29,42,326,2,1,0,0,0,0,280,225,17,13.279796198068652,-2.154946114335741,0,38,186,2,0,0,13,3.948846878425684,0,29,42,326,2,0,0,280,225,17,13.279796198068652,0,0,23,0,22,2,13,0,3.0,19.0,6,0,0,2,0,0,0,0,0,0,0,0,0,7,72,4,3,24,2,58,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,4,DET,REG,CLE,16,27,168,2,1,0,0,0,0,313,76,8,-1.0221093465403952,-0.491202712059021,0,29,109,1,0,0,6,-5.879154023510637,0,16,25,168,2,0,0,313,76,8,0.07980009207340699,0,1,35,2,28,4,17,1,3.0,14.0,9,2,34,10,0,0,0,0,0,0,1,1,0,6,35,2,5,76,3,81,2,2,0,0,58.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,48;58,,,106,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,4,GB,REG,DAL,31,43,337,3,0,1,-12,1,1,255,252,16,21.450974295086887,15.024238659275902,0,35,164,2,0,0,12,5.172739584289957,0,31,36,337,3,0,0,255,252,16,26.79269876536418,0,0,39,1,35,1,1,0,1.0,0.0,4,0,0,4,0,0,0,0,0,0,0,0,0,7,53,7,3,16,3,84,2,2,0,0,53.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,53;34,,,87,0,0,4,5,0,1,0.8,0,0,0,0,0
