season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,16,ARI,REG,ATL,16,31,203,1,1,2,-15,0,0,228,89,9,-2.3956815187122373,-13.592558379830985,0,23,132,0,0,0,6,2.158269139656376,0,16,29,203,1,0,0,228,89,9,3.048078989726335,0,0,32,1,41,5,19,0,1.0,7.0,4,1,16,6,0,0,0,0,0,0,1,1,0,5,14,5,0,0,4,111,4,6,2,0,51.0,0.6666666666666666,0,1,1,0,2,0,0,0,0,1,1,0,50;51;25;34,50;44,,160,94,0,1,1,0,0,1.0,0,0,0,0,0
2025,16,ATL,REG,ARI,21,35,197,2,1,1,-7,0,0,197,137,11,8.094143539450123,-6.863564077545615,0,37,152,1,1,1,11,-4.328812303836457,0,21,34,197,2,0,0,197,137,11,10.260239353454274,0,0,32,1,23,6,14,0,2.0,15.0,5,1,0,7,0,0,0,0,0,1,0,0,0,4,20,3,1,8,0,0,2,2,0,0,49.0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,49;40,,,89,0,0,2,3,0,1,0.6666666666666666,0,0,0,0,0
2025,16,BAL,REG,NE,16,20,166,0,0,1,-7,0,0,171,49,9,7.431838650144923,16.25805526971817,0,33,171,3,1,1,8,1.572700385004282,0,16,20,166,0,1,1,171,49,9,5.598137560887548,0,0,48,0,10,5,12,2,4.0,6.0,10,1,0,7,0,0,0,0,0,0,1,1,0,7,28,4,1,11,2,49,1,2,1,0,36.0,0.5,0,0,1,0,0,0,0,0,0,0,1,0,36,56,,36,56,0,3,3,0,0,1.0,0,0,0,0,0
2025,16,BUF,REG,CLE,12,19,130,0,0,2,-35,0,0,121,103,6,-8.47162467874642,-0.8783014284239875,0,29,164,3,0,0,10,9.60228627314791,0,12,18,130,0,0,0,121,103,6,-4.319130748393945,0,0,34,0,46,5,29,0,3.0,23.0,11,2,11,6,0,0,0,0,0,0,0,0,0,5,35,3,2,7,4,92,1,1,0,0,41.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,41,,,41,0,0,2,3,1,0,0.6666666666666666,0,0,0,0,0
2025,16,CAR,REG,TB,21,32,191,2,0,2,-17,0,0,256,66,9,3.869500598785282,6.729625982622946,0,20,101,0,0,0,7,1.4618056247199172,0,21,31,191,2,0,0,256,66,9,7.650396873427656,0,0,42,0,28,5,24,0,2.0,18.0,2,1,5,4,0,0,0,0,0,0,0,0,0,5,30,3,3,33,0,0,3,3,0,0,48.0,1.0,0,1,0,2,0,0,0,0,0,0,0,0,27;41;48,,,116,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,16,CHI,REG,GB,19,34,250,2,0,0,0,0,0,331,89,10,5.730147249812788,2.0556376448699405,0,26,150,0,0,0,9,0.3080464271479286,0,19,28,250,2,0,0,331,89,10,12.07237408252229,0,0,40,0,42,1,6,1,2.0,6.0,5,0,0,2,0,0,0,0,1,2,1,1,0,10,105,4,0,0,4,104,3,3,0,0,51.0,1.0,0,0,0,2,1,0,0,0,0,0,0,0,46;51;43,,,140,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,16,CIN,REG,MIA,26,33,313,4,0,2,-11,0,0,186,153,16,19.599535186017334,16.090769825443143,0,26,105,2,0,0,6,3.1018528166459873,0,26,31,313,4,0,0,186,153,16,24.409772875775985,0,0,32,1,43,3,6,2,0.0,0.0,4,2,16,7,0,0,0,0,0,0,1,1,0,2,10,2,1,26,4,117,1,1,0,0,45.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,45,,,45,0,0,6,6,0,0,1.0,0,0,0,0,0
2025,16,CLE,REG,BUF,20,30,157,1,2,3,-23,0,0,69,142,8,-14.880581103837986,1.3728872493461326,0,31,160,1,0,0,12,8.74427640484646,0,20,27,157,1,0,0,69,142,8,-5.67599217055346,0,0,29,0,34,1,13,0,2.0,35.0,5,0,0,1,0,0,0,0,1,1,0,0,0,5,44,6,1,3,4,107,2,2,0,0,41.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,24;41,,,65,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,16,DAL,REG,LAC,23,32,255,2,0,1,-6,0,0,308,79,13,13.608034141317766,5.072514154016972,0,23,91,0,1,1,4,-11.69132204708876,0,23,32,255,2,0,0,308,79,13,13.80218072271935,0,0,39,2,32,3,5,1,0.0,0.0,5,0,0,2,0,0,0,0,0,0,0,0,0,5,40,3,0,0,6,148,1,1,0,0,33.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,33,,,33,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,16,DEN,REG,JAX,28,47,352,1,1,1,-8,0,0,449,145,14,0.28978906611595145,-3.132745720770048,0,17,101,1,1,1,6,-2.435488818694935,0,28,46,352,1,0,0,449,145,14,2.58629705144707,0,0,39,0,38,6,25,0,5.0,14.0,14,0,0,5,0,0,0,0,0,0,0,0,0,6,61,5,2,14,4,100,2,3,1,0,54.0,0.6666666666666666,0,1,0,0,1,0,0,0,0,1,0,0,54;21,44,,75,44,0,2,2,0,0,1.0,0,0,0,0,0
2025,16,DET,REG,PIT,34,54,364,3,0,3,-18,0,0,315,174,19,10.851801495123159,-7.189259334252431,0,12,15,0,1,0,2,-3.962575813930016,0,34,52,364,3,0,0,315,174,19,16.266033804448757,0,0,38,0,36,4,18,1,2.0,15.0,3,0,0,5,0,0,0,0,1,1,1,1,0,7,40,4,3,16,5,134,1,1,0,0,36.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,36,,,36,0,0,3,3,0,0,1.0,0,0,0,0,0
