season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,14,ARI,REG,LA,25,44,271,2,1,3,-8,0,0,352,132,15,-3.2885501382786293,-8.447311479936946,0,14,51,0,0,0,2,-0.48506566812988705,0,25,44,271,2,0,0,352,132,15,0.092464103421662,0,0,32,0,48,0,0,0,0.0,0.0,2,0,0,2,0,0,0,0,0,0,0,0,0,7,42,1,0,0,3,66,1,2,1,0,38.0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,38,63,,38,63,0,2,2,0,0,1.0,0,0,0,0,0
2025,14,ATL,REG,SEA,15,30,162,0,2,1,-8,0,0,204,96,6,-15.373345657525775,-12.767703937632698,0,31,120,0,1,1,7,-6.699612575408537,0,15,28,162,0,0,0,204,96,6,-12.151348858297993,0,0,37,2,24,7,19,1,2.0,13.0,3,1,6,3,0,0,0,0,0,0,0,0,0,8,56,1,1,14,4,121,3,4,0,1,43.0,0.75,0,1,1,1,0,0,0,0,0,0,0,0,35;43;27,,50,105,0,50,0,0,0,0,,0,0,0,0,0
2025,14,BAL,REG,PIT,19,35,219,1,1,2,-16,0,0,257,74,9,-5.129352546305684,-5.037570270625028,0,40,217,1,0,0,10,5.782166621618671,0,19,33,219,1,0,0,257,74,9,-0.38090142547437855,0,0,28,2,28,3,12,0,0.0,0.0,1,0,0,5,0,0,0,0,0,0,0,0,0,5,39,5,3,14,5,117,3,3,0,0,36.0,1.0,0,1,2,0,0,0,0,0,0,0,0,0,36;28;36,,,100,0,0,1,2,1,0,0.5,0,0,0,0,0
2025,14,BUF,REG,CIN,22,28,251,3,0,3,-18,0,0,129,174,13,16.701261836904568,12.483755416340298,1,29,183,1,2,1,8,-1.91680274278333,0,22,27,251,3,0,0,129,174,13,20.678119868665934,1,0,31,0,32,2,11,0,1.0,8.0,5,2,64,7,1,0,0,0,0,0,0,0,0,6,68,2,1,9,6,130,1,1,0,0,26.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,26,,,26,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,14,CHI,REG,GB,19,35,186,2,1,1,-9,0,0,298,73,12,-0.17887377711148567,1.8537400024277824,0,32,138,0,0,0,7,7.6364084068774245,1,19,28,186,2,0,0,298,73,12,6.287753624851808,0,0,34,1,17,2,15,0,1.0,14.0,1,1,28,3,0,0,0,0,1,1,0,0,0,4,17,2,1,6,4,91,2,2,0,0,41.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,33;41,,,74,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,14,CIN,REG,BUF,25,36,284,4,2,1,-8,0,0,329,96,18,8.175821986326017,7.009764760732651,0,19,62,1,0,0,4,-1.3991516482783481,0,25,36,284,4,0,0,329,96,18,10.21393216837896,0,0,38,1,31,5,22,2,3.0,18.0,5,0,0,3,0,0,0,0,0,0,1,1,0,4,30,5,0,0,7,187,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,14,CLE,REG,TEN,23,42,364,3,1,2,-13,0,0,305,262,13,5.939805881192169,-4.73575862614732,0,20,61,1,0,0,5,-3.3680161992523354,0,23,38,364,3,1,1,305,262,13,7.3916090403364505,0,0,32,3,35,7,23,0,1.0,9.0,5,1,44,5,0,1,0,0,1,1,0,0,0,7,50,5,4,16,5,113,1,1,0,0,38.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,14,DAL,REG,DET,31,47,376,1,2,5,-50,1,0,497,125,17,1.0007189599864175,1.232050010498534,1,24,91,1,0,0,7,0.39286664337851107,0,31,47,376,1,2,1,497,125,17,7.567702317719732,1,0,30,1,43,4,19,0,1.0,10.0,8,0,0,1,0,0,0,0,2,2,0,0,0,7,76,4,1,0,7,176,5,5,0,0,63.0,1.0,0,1,0,1,2,1,0,0,0,0,0,0,57;42;55;63;29,,,246,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,14,DEN,REG,LV,31,38,212,0,0,3,-8,0,0,216,113,14,5.895924786257751,10.979730553097195,0,31,152,2,0,0,11,5.2838893315638416,0,31,36,212,0,0,0,216,113,14,10.293814946874704,0,1,27,0,22,5,25,0,4.0,24.0,7,0,0,1,0,0,0,0,0,0,0,0,0,8,50,5,1,48,2,39,1,1,0,0,23.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,23,,,23,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,14,DET,REG,DAL,25,34,309,1,0,1,-10,0,0,229,177,10,12.198009743105478,9.59008643704076,0,22,109,4,0,0,8,6.130527636792976,0,25,31,309,1,0,0,229,177,10,16.037926808312253,0,0,53,0,24,6,55,3,5.0,50.0,11,2,23,11,0,0,0,0,0,0,1,1,0,8,50,3,1,21,8,261,3,4,0,1,47.0,0.75,0,0,1,2,0,0,0,0,0,0,0,0,38;47;46,,52,131,0,52,5,5,0,0,1.0,0,0,0,0,0
