season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,13,ARI,REG,TB,29,40,301,2,1,2,-10,0,0,289,145,16,5.769273175322185,11.05167479128451,0,19,95,0,1,1,6,-7.014189565903507,0,29,37,301,2,0,0,289,145,16,9.171802182806214,0,0,27,3,39,5,16,1,2.0,10.0,1,0,0,3,0,0,0,0,0,0,0,0,0,4,33,6,3,6,5,139,1,2,1,0,52.0,0.5,0,0,0,0,1,0,0,0,0,1,0,0,52,43,,52,43,0,2,2,0,0,1.0,0,0,0,0,0
2025,13,ATL,REG,NYJ,21,33,234,1,0,2,-12,0,0,154,209,12,5.853858310111897,-0.8298612890704986,0,32,167,2,0,0,11,5.819320160313509,0,21,31,234,1,0,0,154,209,12,10.976538593030632,0,0,31,3,23,7,23,0,2.0,13.0,6,0,0,3,0,1,0,0,0,0,0,0,0,1,27,5,3,-1,5,105,1,2,1,0,52.0,0.5,0,0,0,0,1,0,0,0,0,0,1,0,52,50,,52,50,0,3,3,0,0,1.0,0,0,0,0,0
2025,13,BAL,REG,CIN,17,32,246,0,1,3,-23,2,2,381,119,8,-11.811996963922866,-6.798954904079437,0,22,123,2,0,0,8,4.387354340986349,0,17,30,246,0,2,2,381,119,8,-10.923494916467462,0,0,43,1,37,4,14,1,1.0,7.0,7,0,0,6,0,0,0,0,0,0,1,1,0,7,53,4,0,0,6,162,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,13,BUF,REG,PIT,15,23,123,1,1,0,0,0,0,39,80,9,5.398728491622023,-8.480159743972447,0,51,249,1,2,1,16,2.0060771540619498,0,15,23,123,1,0,0,39,80,9,5.398728491622023,0,0,19,1,29,4,14,1,1.0,9.0,2,1,0,4,0,0,0,0,1,1,1,1,1,7,45,3,0,0,2,36,2,2,0,0,37.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,27;37,,,64,0,0,2,3,1,0,0.6666666666666666,0,0,0,0,0
2025,13,CAR,REG,LA,15,20,206,3,0,2,-12,0,0,155,153,8,14.25771617126884,8.80542203783989,0,40,164,0,0,0,9,-0.23940834056446025,0,15,20,206,3,0,0,155,153,8,16.488774426630698,0,0,23,0,34,3,17,1,2.0,16.0,2,2,48,4,1,0,0,0,0,0,1,1,0,7,70,0,1,15,4,89,1,1,0,0,33.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,33,,,33,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,13,CHI,REG,PHI,17,36,154,1,1,2,-10,0,0,252,75,10,-6.028513783271149,-12.467103637754917,0,47,281,2,0,0,17,9.551912663504481,0,17,32,154,1,0,0,252,75,10,-0.1030067569540849,0,0,27,0,20,1,3,1,0.0,0.0,1,1,0,3,0,0,0,0,0,0,1,1,0,4,35,2,1,12,2,58,1,1,0,0,30.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,30,,,30,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,13,CIN,REG,BAL,24,46,261,2,0,1,-7,0,0,380,99,11,6.142689269761428,-5.978283557024869,0,33,128,0,1,1,8,-6.33041781163212,0,24,44,261,2,0,0,380,99,11,8.758711035972334,0,0,32,0,24,2,18,3,2.0,18.0,5,1,39,6,0,0,0,0,0,0,3,3,0,6,35,6,2,19,3,59,6,6,0,0,52.0,1.0,0,1,2,2,1,0,0,0,0,0,0,0,31;42;24;33;52;41,,,223,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,13,CLE,REG,SF,17,26,149,1,0,3,-34,0,0,173,76,7,-4.5155445886193775,1.3269964767538982,0,31,138,0,1,1,9,-7.403730211270042,1,17,23,149,1,0,0,173,76,7,3.8313091485761106,0,0,27,1,45,4,13,0,1.0,7.0,7,0,0,3,0,3,0,0,2,3,0,0,0,4,25,3,3,3,4,73,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0
2025,13,DAL,REG,KC,27,39,320,2,1,0,0,0,0,257,188,15,14.553953173174932,4.838724313555537,1,26,137,1,0,0,3,-3.5574937183992006,0,27,37,320,2,1,0,257,188,15,16.92400398640655,1,0,35,0,38,4,22,1,3.0,18.0,9,0,0,1,0,0,0,0,1,1,0,0,0,7,50,2,0,0,5,118,3,3,0,0,49.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,49;36;26,,,111,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,13,DEN,REG,WAS,29,45,321,1,1,1,-6,1,0,189,196,17,9.88027036314034,-4.023081618686055,0,23,87,2,0,0,6,2.7375322824227624,0,29,43,321,1,0,0,189,196,17,13.18310693449476,0,0,49,3,31,8,29,2,2.0,18.0,6,1,27,9,0,0,0,0,1,1,0,0,0,5,33,7,1,10,5,118,2,2,0,0,33.0,1.0,0,0,2,0,0,0,0,0,0,0,0,0,33;33,,,66,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,13,DET,REG,GB,20,27,256,2,0,3,-23,0,0,170,109,12,9.080936500253557,2.561455413147255,0,30,119,1,1,0,8,-6.756534161278978,0,20,27,256,2,0,0,170,109,12,13.44546282774536,0,0,32,0,28,1,2,1,0.0,0.0,2,0,0,5,0,0,0,0,1,2,0,0,0,5,22,5,1,21,3,81,1,1,0,0,31.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,31,,,31,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,13,GB,REG,DET,18,30,234,4,0,0,0,0,0,343,39,11,16.350408765736013,0.8530517076623851,0,30,125,0,0,0,5,-2.5498974857036956,0,18,29,234,4,1,0,343,39,11,16.723415730158543,0,0,34,3,35,7,31,0,3.0,23.0,7,0,0,2,0,0,0,0,2,2,0,0,0,3,20,4,1,2,4,95,1,1,0,0,45.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,45,,,45,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,13,HOU,REG,IND,22,35,276,0,1,2,-20,0,0,392,110,14,7.595687960062666,6.048811133950949,0,34,108,2,1,0,8,-6.808023981488077,0,22,32,276,0,0,0,392,110,14,12.857139297628839,0,0,25,2,32,5,15,0,1.0,6.0,6,0,0,4,0,0,0,0,1,1,0,0,0,9,85,5,2,28,4,115,2,2,0,0,43.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,23;43,,,66,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,13,IND,REG,HOU,14,27,201,2,0,1,-6,0,0,198,58,9,0.6210259530715807,-8.84944748878479,0,23,86,0,2,0,7,-6.553810286568478,0,14,25,201,2,0,0,198,58,9,4.473970637519301,0,0,37,0,46,4,22,1,2.0,20.0,5,1,0,5,0,0,0,0,2,3,0,0,0,5,33,4,2,14,3,65,1,1,0,0,42.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,42,,,42,0,0,1,2,1,0,0.5,0,0,0,0,0
2025,13,JAX,REG,TEN,16,27,229,2,0,3,-27,0,0,270,92,13,4.863736678089481,4.199545741081238,0,27,70,1,0,0,3,-7.662105784111191,1,16,25,229,2,0,0,270,92,13,12.441110011364799,0,0,34,1,29,4,24,3,3.0,20.0,5,0,0,3,0,0,0,0,0,0,2,2,0,13,98,3,1,14,2,58,1,1,0,0,45.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,45,,,45,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,13,KC,REG,DAL,23,34,261,4,0,3,-18,0,0,240,159,12,14.157640327583067,4.746995307505131,0,23,119,0,1,0,7,0.8395814531832002,0,23,32,261,4,0,0,240,159,12,19.14392520103138,0,0,37,1,29,2,5,1,0.0,0.0,6,1,14,6,0,0,0,0,0,0,0,0,0,10,119,3,1,10,7,174,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,13,LA,REG,CAR,18,28,243,2,2,2,-16,1,1,221,124,12,-3.512069752730895,3.4452046509142273,0,21,152,2,0,0,9,10.503078474954236,0,18,27,243,2,0,0,221,124,12,3.553597398044076,0,0,39,1,35,3,13,0,2.0,12.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,5,135,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,13,LAC,REG,LV,16,21,160,2,1,3,-11,0,0,199,46,11,8.219460756295499,11.456142720722017,0,43,192,2,0,0,8,-1.350502208864782,0,16,21,160,2,0,0,199,46,11,12.11808578100628,0,0,31,2,20,8,32,1,5.0,40.0,9,1,0,5,0,0,0,0,0,0,0,0,0,4,27,5,2,18,3,88,1,1,0,0,56.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,56,,,56,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,13,LV,REG,LAC,18,23,165,2,1,5,-40,1,0,75,110,9,-2.135615331266308,12.157199599526145,0,18,31,0,0,0,1,-12.785856361821061,0,18,22,165,2,0,0,75,110,9,9.129280224529793,0,0,40,2,36,7,16,0,3.0,11.0,4,1,0,1,0,0,0,0,1,1,0,0,0,4,50,6,1,2,4,108,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,13,MIA,REG,NO,12,23,157,0,1,4,-23,0,0,232,80,8,-8.047162546331096,-1.271800696849823,0,32,164,1,0,0,8,0.785125222755596,0,12,20,157,0,0,0,232,80,8,-0.4594376382930707,0,0,41,1,37,5,23,1,4.0,26.0,8,1,38,6,0,0,0,0,1,1,1,1,0,3,15,5,1,5,2,45,4,4,0,0,48.0,1.0,0,1,2,1,0,0,0,0,0,0,0,0,39;25;48;33,,,145,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,13,MIN,REG,SEA,19,30,126,0,4,4,-30,0,0,167,105,6,-29.14437764865579,-4.164899628737877,0,16,66,0,0,0,3,-3.2716595662059262,0,19,29,126,0,2,1,167,105,6,-13.50308747170493,0,0,39,0,32,7,41,3,4.0,34.0,5,0,0,6,0,0,0,0,1,1,2,2,0,10,80,0,0,0,6,169,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0
2025,13,NE,REG,NYG,24,31,282,2,0,3,-6,0,0,245,135,14,11.539165703912136,15.77816883722941,0,29,119,0,0,0,7,-1.2294331998096593,0,24,30,282,2,0,0,245,135,14,16.457371689013076,0,1,33,0,32,5,29,1,2.0,11.0,7,0,0,7,0,0,0,0,0,0,1,1,0,3,30,3,3,124,3,79,4,5,1,0,30.0,0.8,0,3,1,0,0,0,0,0,0,1,0,0,22;30;28;23,45,,103,45,0,3,3,0,0,1.0,0,0,0,0,0
2025,13,NO,REG,MIA,26,38,239,2,1,4,-26,1,1,269,80,12,-11.173747508184139,9.799112642512602,0,27,81,0,0,0,6,-0.5241499698166736,1,26,34,239,2,0,0,269,80,12,1.8998940999358025,0,0,34,0,32,7,27,0,4.0,23.0,6,1,0,3,0,0,0,0,0,0,0,0,0,6,45,5,2,12,4,105,1,1,0,0,56.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,56,,,56,0,0,0,0,0,0,,0,0,0,0,0
2025,13,NYG,REG,NE,17,24,139,1,0,2,-11,0,0,184,87,4,-4.815171926937066,3.5155829042196274,1,27,111,1,0,0,10,-1.0263184612849727,0,17,24,139,1,0,0,184,87,4,-2.3026508763867897,1,0,42,1,29,5,14,0,3.0,6.0,5,0,0,4,0,0,0,0,0,0,0,0,0,4,30,4,0,0,6,142,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1.0,0,0,0,0,0
