season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,5,ARI,REG,TEN,23,32,220,0,0,3,-28,0,0,209,115,8,1.1999048311263323,5.623544057210286,0,29,168,3,2,2,10,-5.952887479506899,0,23,30,220,0,0,0,209,115,8,8.775004187074956,0,0,36,0,22,4,19,1,2.0,16.0,4,1,0,8,0,1,0,0,0,1,1,1,0,8,47,4,2,16,4,90,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,5,BAL,REG,HOU,14,20,179,0,3,1,-16,0,0,163,83,7,-7.8949564919229065,-0.31771227717399597,0,19,44,1,0,0,4,-5.534755662432872,0,14,20,179,0,0,0,163,83,7,-5.518748424516938,0,0,36,3,43,5,22,0,2.0,17.0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,49,3,1,16,8,186,1,2,1,0,27.0,0.5,0,1,0,0,0,0,0,0,0,0,1,0,27,55,,27,55,0,1,1,0,0,1.0,0,0,0,0,0
2025,5,BUF,REG,NE,22,31,253,2,1,1,-8,0,0,246,99,16,10.645898245595461,5.940981755654017,0,29,118,0,1,1,6,-3.9830778628238477,0,22,30,253,2,1,1,246,99,16,8.269936339609856,0,0,44,1,13,6,9,2,4.0,6.0,8,0,0,1,0,0,0,0,0,1,1,1,0,11,90,6,0,0,5,127,2,2,0,0,45.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,31;45,,,76,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,5,CAR,REG,MIA,19,30,198,2,1,3,-19,1,1,244,73,12,-1.3048395836655962,8.688226231822261,0,32,239,1,0,0,8,10.933818381774472,0,19,27,198,2,0,0,244,73,12,10.221585124473235,0,0,37,2,26,9,42,0,3.0,27.0,3,0,0,1,0,0,0,0,0,0,0,0,0,8,46,4,0,0,5,113,2,2,0,0,49.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,35;49,,,84,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,5,CIN,REG,DET,26,40,251,3,3,2,-14,1,0,339,93,12,-8.766111446794405,0.007850751280784607,0,16,85,0,0,0,4,1.802048583922442,0,26,40,251,3,1,0,339,93,12,-5.341994787699824,0,0,33,3,45,6,20,1,4.0,14.0,7,0,0,1,0,0,0,0,2,2,1,1,0,6,30,4,1,6,6,154,1,1,0,0,50.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,50,,,50,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,5,CLE,REG,MIN,19,33,190,2,0,2,-8,0,0,208,103,9,-2.2798502849765976,-6.815527845174074,0,32,140,0,0,0,9,1.4644650935661048,0,19,32,190,2,0,0,208,103,9,0.5207758772883642,0,0,33,3,39,6,24,2,3.0,16.0,3,0,0,3,0,0,0,0,0,0,2,2,0,10,78,6,3,31,3,78,1,1,0,0,31.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,31,,,31,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,5,DAL,REG,NYJ,18,29,237,4,0,1,-1,0,0,232,126,12,11.848729786221256,-0.6138832441398075,0,29,180,1,0,0,9,6.831910461449297,0,18,28,237,4,0,0,232,126,12,13.189436508391836,0,0,46,1,37,6,50,1,5.0,49.0,14,0,0,3,0,0,0,0,0,0,1,1,0,11,91,5,1,8,1,32,1,1,0,0,35.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,35,,,35,0,0,4,5,1,0,0.8,0,0,0,0,0
2025,5,DEN,REG,PHI,24,39,242,1,0,2,-14,0,0,318,122,12,4.242067022660045,0.7757284988959631,1,29,130,1,0,0,8,0.8363362583040725,0,24,36,242,1,0,0,318,122,12,10.390780334422594,1,0,35,0,16,5,21,0,6.0,23.0,8,0,0,9,0,0,0,0,0,0,0,0,0,12,121,5,4,42,4,83,2,2,0,0,55.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,55;36,,,91,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,5,DET,REG,CIN,20,24,261,4,0,4,-14,1,1,106,172,15,13.01289663463831,17.393486396126125,0,33,118,1,0,0,7,-3.777595158026088,0,20,23,261,4,0,0,106,172,15,24.138901888392866,0,0,32,2,28,5,21,2,2.0,14.0,9,3,17,11,0,0,1,0,0,0,0,0,0,8,56,1,1,11,3,87,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,5,0,0,1.0,0,0,0,0,0
2025,5,HOU,REG,BAL,25,31,267,4,0,2,-17,0,0,259,77,15,18.976819263320994,16.18174256816987,0,33,167,1,0,0,8,3.0716267556887153,0,25,31,267,4,0,0,259,77,15,23.09963262620949,0,0,28,1,27,3,20,0,1.0,16.0,2,3,20,4,0,0,0,0,0,0,0,0,0,4,26,1,1,12,2,58,3,3,0,0,57.0,1.0,0,0,1,0,2,0,0,0,0,0,0,0,50;57;34,,,141,0,0,5,5,0,0,1.0,0,0,0,0,0
