season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,11,ARI,REG,SF,47,57,452,2,2,0,0,0,0,388,198,18,9.212935896495567,12.436020800045558,0,14,36,1,0,0,5,-1.931191046387423,0,47,56,452,2,1,1,388,198,18,6.8456377716136405,0,0,27,1,31,3,23,0,1.0,14.0,3,0,0,4,0,0,0,0,0,0,0,0,0,17,130,5,2,51,7,180,1,2,1,0,26.0,0.5,0,1,0,0,0,0,0,0,0,0,1,0,26,58,,26,58,0,1,1,0,0,1.0,0,0,0,0,0
2025,11,ATL,REG,CAR,19,30,223,0,0,0,0,0,0,255,107,11,6.946033951075805,-5.197359261841609,0,28,125,3,0,0,8,0.40939255051489454,0,19,29,223,0,1,0,255,107,11,8.42524650664447,0,0,52,0,16,6,31,0,5.0,29.0,10,0,0,7,0,2,0,0,1,1,0,0,0,6,44,4,1,0,6,133,2,2,0,0,52.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0,52;45,,,97,0,0,3,3,0,0,1.0,0,0,0,0,0
2025,11,BAL,REG,CLE,14,25,193,0,2,5,-26,0,0,199,106,9,-12.848054744788678,-8.797862887382507,0,30,184,2,0,0,8,7.724940330517711,0,14,25,193,0,0,0,199,106,9,-6.313249385766255,0,0,32,2,28,6,40,1,3.0,34.0,10,1,14,9,0,1,0,0,0,0,0,0,0,4,26,3,3,26,4,115,3,3,0,0,44.0,1.0,0,2,0,1,0,0,0,0,0,0,0,0,25;24;44,,,93,0,0,2,2,0,0,1.0,0,0,0,0,0
2025,11,BUF,REG,TB,19,30,317,3,2,0,0,0,0,346,154,13,12.440862808616592,-0.8126414815584818,0,23,97,3,0,0,5,0.7048696703859605,0,19,30,317,3,1,0,346,154,13,12.440862808616592,0,0,35,4,42,3,14,1,1.0,8.0,3,1,12,6,0,1,0,0,1,1,1,1,0,7,45,3,1,0,6,234,1,1,0,0,39.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,39,,,39,0,0,5,5,0,0,1.0,0,0,0,0,0
2025,11,CAR,REG,ATL,31,45,448,3,0,5,-29,0,0,278,247,20,14.242022988657277,2.1731023761359127,1,25,67,0,0,0,2,-4.5528216014633625,0,31,44,448,3,0,0,278,247,20,29.496329568844565,1,0,28,1,43,2,6,2,0.0,0.0,1,0,0,5,0,0,0,0,0,0,1,1,0,8,49,4,1,9,3,77,3,3,0,0,34.0,1.0,0,2,1,0,0,0,0,0,0,0,0,0,29;34;28,,,91,0,0,1,1,0,0,1.0,1,1,0,0,28
2025,11,CHI,REG,MIN,16,32,193,0,0,2,-13,0,0,385,108,6,-0.9484717985872968,-9.485139059168953,0,39,140,1,1,0,14,-2.5251905146239166,0,16,28,193,0,0,0,385,108,6,5.416163339704771,0,0,26,0,32,1,3,1,0.0,0.0,5,2,23,5,0,0,0,0,1,2,0,0,0,6,40,2,2,11,3,108,4,5,1,0,54.0,0.8,0,0,2,1,1,0,0,0,0,1,0,0,38;54;33;48,45,,173,45,0,1,1,0,0,1.0,1,1,0,0,48
2025,11,CIN,REG,PIT,23,40,199,1,1,1,-7,0,0,285,97,9,-9.329388562074028,-9.606239810968058,0,22,105,0,0,0,6,2.4209369140882044,0,23,39,199,1,1,1,285,97,9,-15.437296799799524,0,0,33,2,36,3,13,0,1.0,11.0,4,0,0,3,0,0,0,0,0,0,0,0,0,8,67,4,1,4,6,138,2,2,0,0,48.0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,43;48,,,91,0,0,0,0,0,0,,0,0,0,0,0
2025,11,CLE,REG,BAL,11,26,115,0,1,3,-34,1,0,166,44,4,-16.992960960317276,-20.817376732826233,0,25,106,0,0,0,5,-5.0989603328634985,0,11,25,115,0,0,0,166,44,4,-8.980520679095632,0,0,39,1,25,10,34,0,5.0,26.0,7,2,32,3,1,0,0,0,1,1,1,1,0,5,41,4,2,18,5,123,3,3,0,0,46.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,30;24;46,,,100,0,0,1,1,0,0,1.0,0,0,0,0,0
2025,11,DAL,REG,LV,25,33,268,4,0,1,-1,1,1,232,138,16,8.562692845276407,8.717983216047287,0,31,114,0,0,0,7,-6.454075091460254,0,25,32,268,4,0,0,232,138,16,15.872563311073463,0,0,33,2,30,8,32,0,4.0,29.0,11,1,24,8,0,0,1,0,0,0,0,0,0,6,50,5,1,14,4,111,1,1,0,0,50.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,50,,,50,0,0,4,4,0,0,1.0,0,0,0,0,0
2025,11,DEN,REG,KC,24,38,295,0,0,2,-12,0,0,319,142,11,4.594412594170972,1.409962276617686,0,21,59,1,0,0,5,-3.155588818208277,0,24,36,295,0,0,0,319,142,11,10.230722446377918,0,0,36,0,32,4,28,0,3.0,27.0,8,1,16,4,0,2,0,0,0,0,0,0,0,10,147,4,3,101,3,79,5,5,0,0,54.0,1.0,0,2,2,0,1,0,0,0,0,0,0,0,29;24;38;54;35,,,180,0,0,1,1,0,0,1.0,1,1,0,0,35
